  Page 1                                    Thu Oct 31 19:03:47 2013

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Analysis begun Thu Oct 31 19:03:47 2013

  Processing MSX input file temp.msx
  
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 4 trials
     0:00:00: Reservoir 9 is emptying
     0:00:00: Tank 2 is filling at 120.00 ft
   
     1:00:00: Balanced after 2 trials
   
     2:00:00: Balanced after 3 trials
   
     3:00:00: Balanced after 2 trials
   
     4:00:00: Balanced after 3 trials
   
     5:00:00: Balanced after 2 trials
   
     6:00:00: Balanced after 2 trials
   
     7:00:00: Balanced after 1 trials
   
     8:00:00: Balanced after 2 trials
   
     9:00:00: Balanced after 2 trials
   
    10:00:00: Balanced after 2 trials
   
    11:00:00: Balanced after 2 trials
   
    12:00:00: Balanced after 3 trials
   
    12:32:34: Pump 9 changed by Tank 2 control
    12:32:34: Balanced after 4 trials
    12:32:34: Reservoir 9 is closed
    12:32:34: Tank 2 is emptying at 140.00 ft
    12:32:34: Pump 9 changed from open to closed
   
    13:00:00: Balanced after 1 trials
   
    14:00:00: Balanced after 2 trials
   
    15:00:00: Balanced after 1 trials
   
    16:00:00: Balanced after 2 trials
   
    17:00:00: Balanced after 1 trials
   
    18:00:00: Balanced after 2 trials
   
    19:00:00: Balanced after 1 trials
   
    20:00:00: Balanced after 2 trials
   
    21:00:00: Balanced after 1 trials
   
    22:00:00: Balanced after 2 trials
   
    22:41:30: Pump 9 changed by Tank 2 control
    22:41:30: Balanced after 15 trials
    22:41:30: Reservoir 9 is emptying
    22:41:30: Tank 2 is filling at 110.00 ft
    22:41:30: Pump 9 changed from closed to open
   
    23:00:00: Balanced after 2 trials
   
    24:00:00: Balanced after 3 trials
   
  
Page 1                                               EPANET-MSX 1.1
  
  ******************************************************************
  *                      E P A N E T  -  M S X                     *
  *                   Multi-Species Water Quality                  *
  *                   Analysis for Pipe  Networks                  *
  *                           Version 1.1                          *
  ******************************************************************
  
  Example Test

  
  <<< Node 10 >>>
  
  Time       Chlorine         Age        THMs
  hr:min         MG/L        MG/L        UG/L
  -------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00
     1:00        0.00        0.00       25.00
     2:00        1.00        0.00       25.00
     3:00        1.00        0.00       25.00
     4:00        1.00        0.00       25.00
     5:00        1.00        0.00       25.00
     6:00        1.00        0.00       25.00
     7:00        1.00        0.00       25.00
     8:00        1.00        0.00       25.00
     9:00        1.00        0.00       25.00
    10:00        1.00        0.00       25.00
    11:00        1.00        0.00       25.00
    12:00        1.00        0.00       25.00
    13:00        0.99        0.02       25.24
    14:00        0.97        0.06       25.76
    15:00        0.95        0.10       26.30
    16:00        0.93        0.14       26.85
    17:00        0.91        0.19       27.41
    18:00        0.89        0.23       27.98
    19:00        0.87        0.27       28.56
    20:00        0.85        0.31       29.16
    21:00        0.84        0.35       29.76
    22:00        0.82        0.39       30.38
    23:00        1.00        0.00       25.00
    24:00        1.00        0.00       25.00
  
  <<< Node 11 >>>
  
  Time       Chlorine         Age        THMs
  hr:min         MG/L        MG/L        UG/L
  -------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00
     1:00        0.00        0.04        0.00
     2:00        0.00        0.05       19.26
     3:00        0.73        0.05       25.66
     4:00        0.97        0.05       25.66
     5:00        0.97        0.05       25.67
     6:00        0.97        0.05       25.67
     7:00        0.97        0.05       25.67
     8:00        0.97        0.05       25.67
     9:00        0.97        0.05       25.67
    10:00        0.97        0.05       25.67
    11:00        0.97        0.05       25.68
    12:00        0.97        0.05       25.68
    13:00        0.97        0.07       25.83
    14:00        0.95        0.11       26.37
    15:00        0.92        0.17       27.18
    16:00        0.89        0.22       27.89
    17:00        0.75        0.33       24.56
    18:00        0.05        0.73        2.65
    19:00        0.05        0.77        2.70
    20:00        0.05        0.81        2.76
    21:00        0.05        0.86        2.81
    22:00        0.05        0.90        2.87
    23:00        0.79        0.46       31.37
    24:00        0.80        0.45       31.23
  
  <<< Node 12 >>>
  
  Time       Chlorine         Age        THMs
  hr:min         MG/L        MG/L        UG/L
  -------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00
     1:00        0.00        0.04        0.00
     2:00        0.00        0.08        0.00
     3:00        0.00        0.09       19.66
     4:00        0.71        0.09       26.19
     5:00        0.95        0.09       26.20
     6:00        0.95        0.09       26.20
     7:00        0.95        0.09       26.20
     8:00        0.95        0.09       26.20
     9:00        0.95        0.09       26.20
    10:00        0.95        0.10       26.21
    11:00        0.95        0.10       26.21
    12:00        0.95        0.10       26.21
    13:00        0.95        0.10       26.22
    14:00        0.06        0.56        2.44
    15:00        0.06        0.61        2.49
    16:00        0.06        0.65        2.54
    17:00        0.06        0.69        2.59
    18:00        0.05        0.73        2.65
    19:00        0.05        0.77        2.70
    20:00        0.05        0.81        2.76
    21:00        0.05        0.86        2.81
    22:00        0.05        0.90        2.87
    23:00        0.05        0.94        2.93
    24:00        0.05        0.98        2.99
  
  <<< Node 13 >>>
  
  Time       Chlorine         Age        THMs
  hr:min         MG/L        MG/L        UG/L
  -------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00
     1:00        0.00        0.04        0.00
     2:00        0.00        0.08        0.00
     3:00        0.00        0.13        0.00
     4:00        0.00        0.17        0.00
     5:00        0.10        0.17       20.17
     6:00        0.77        0.16       27.11
     7:00        0.92        0.16       27.05
     8:00        0.93        0.15       26.97
     9:00        0.92        0.16       27.01
    10:00        0.92        0.16       27.12
    11:00        0.92        0.17       27.20
    12:00        0.91        0.18       27.31
    13:00        0.91        0.18       27.31
    14:00        0.91        0.18       27.39
    15:00        0.91        0.18       27.37
    16:00        0.17        0.59        5.84
    17:00        0.06        0.69        2.59
    18:00        0.05        0.73        2.65
    19:00        0.05        0.77        2.70
    20:00        0.05        0.81        2.76
    21:00        0.05        0.86        2.81
    22:00        0.05        0.90        2.87
    23:00        0.05        0.94        2.93
    24:00        0.05        0.98        2.99
  
  <<< Node 21 >>>
  
  Time       Chlorine         Age        THMs
